-0.35, 0.56, 0.4
-0.35, 0.7, 0.4
-0.2, 0.7, 0.4
-0.2, 0.56, 0.4
-0.35, 0.56, 0.46
-0.35, 0.7, 0.46
-0.2, 0.7, 0.46
-0.2, 0.56, 0.46
-0.2, 0.56, 0.4
-0.2, 0.7, 0.4
-0.2, 0.7, 0.46
-0.2, 0.56, 0.46
-0.35, 0.56, 0.4
-0.35, 0.7, 0.4
-0.35, 0.7, 0.46
-0.35, 0.56, 0.46
-0.35, 0.56, 0.81
-0.35, 0.7, 0.81
-0.2, 0.7, 0.81
-0.2, 0.56, 0.81
-0.35, 0.56, 0.77
-0.35, 0.7, 0.77
-0.2, 0.7, 0.77
-0.2, 0.56, 0.77
-0.2, 0.56, 0.77
-0.2, 0.7, 0.77
-0.2, 0.7, 0.81
-0.2, 0.56, 0.81
-0.35, 0.56, 0.77
-0.35, 0.7, 0.77
-0.35, 0.7, 0.81
-0.35, 0.56, 0.81
0.35, 0.56, 0.4
0.35, 0.7, 0.4
0.2, 0.7, 0.4
0.2, 0.56, 0.4
0.35, 0.56, 0.46
0.35, 0.7, 0.46
0.2, 0.7, 0.46
0.2, 0.56, 0.46
0.2, 0.56, 0.4
0.2, 0.7, 0.4
0.2, 0.7, 0.46
0.2, 0.56, 0.46
0.35, 0.56, 0.4
0.35, 0.7, 0.4
0.35, 0.7, 0.46
0.35, 0.56, 0.46
0.35, 0.56, 0.81
0.35, 0.7, 0.81
0.2, 0.7, 0.81
0.2, 0.56, 0.81
0.35, 0.56, 0.77
0.35, 0.7, 0.77
0.2, 0.7, 0.77
0.2, 0.56, 0.77
0.2, 0.56, 0.77
0.2, 0.7, 0.77
0.2, 0.7, 0.81
0.2, 0.56, 0.81
0.35, 0.56, 0.77
0.35, 0.7, 0.77
0.35, 0.7, 0.81
0.35, 0.56, 0.81
